[USER] I am looking for a restaurant. I would like something cheap that has Chinese food.  [SYSTEM] I've heard good things about the lucky star. Need a reservation? [END]
[SYSTEM] Pizza Hut Cherry Hinton is the only Italian restaurant in the moderately priced category in the south part of town.  [USER] Can I get the address, phone number and postcode, please? [END]
[USER] Can I get the address, phone number and postcode, please?  [SYSTEM] The phone number for pizza hut cherry hinton 01223 323737 and they are located at G4 Cambridge Leisure Park Clifton Way Cherry Hinton. The postcode is C.B 1, 7 D.Y [END]
[SYSTEM] The phone number for pizza hut cherry hinton 01223 323737 and they are located at G4 Cambridge Leisure Park Clifton Way Cherry Hinton. The postcode is C.B 1, 7 D.Y  [USER] Thank you, goodbye [END]
[USER] Thank you, goodbye  [SYSTEM] Have a nice day. [END]
[USER] I want to find an expensive restaurant in the north part of town.  [SYSTEM] There are 5 available restaurants. What food would you like? [END]
[SYSTEM] There are 5 available restaurants. What food would you like?  [USER] The restaurant should serve chinese food. [END]
[USER] The restaurant should serve chinese food.  [SYSTEM] There are two options for your preferences: Hakka on Milton Road in Chesterton and The Hotpot at 66 Chesterton Road in Chesterton. [END]
[SYSTEM] There are two options for your preferences: Hakka on Milton Road in Chesterton and The Hotpot at 66 Chesterton Road in Chesterton.  [USER] Yes thank you, I would like to make reservations at The Hotspot at 66 for 4 people at 13:30 this Tuesday. [END]
[USER] Yes thank you, I would like to make reservations at The Hotspot at 66 for 4 people at 13:30 this Tuesday.  [SYSTEM] I could not get a table at the hotspot. I was able to reserve one for hakka however. Your reference number is PBSTNZCL . [END]
[SYSTEM] I could not get a table at the hotspot. I was able to reserve one for hakka however. Your reference number is PBSTNZCL .  [USER] Thank you that is all I need, bye. [END]
[USER] Thank you that is all I need, bye.  [SYSTEM] Thank you and enjoy your meal. Have a great day. [END]
[USER] I want a moderate priced restaurant in the west part of town.  [SYSTEM] There are three moderately priced restaurants in the west part of town. What type of food would you like? [END]
[SYSTEM] There are three moderately priced restaurants in the west part of town. What type of food would you like?  [USER] I don't care. can i also have the postcode and phone number ? [END]
[USER] I don't care. can i also have the postcode and phone number ?  [SYSTEM] meghna is in the west part of town and serving indian food, the phone number is 01223727410 and postcode is CB43LF. Is there anything I can help you with? [END]
[SYSTEM] meghna is in the west part of town and serving indian food, the phone number is 01223727410 and postcode is CB43LF. Is there anything I can help you with?  [USER] No that is all. Thank you, goodbye. [END]
[USER] No that is all. Thank you, goodbye.  [SYSTEM] Have a good evening. [END]
[USER] I'll be in there next week and my friend told me about a restaurant called The Missing Sock. Could you tell me where they are located?  [SYSTEM] It is in the east, postcode cb259aq,Finders Corner Newmarket Road. Anything else? [END]
[USER] I would like an expensive restaurant that serves vegetarian food  [SYSTEM] There are no expensive vegetarian restaurants. Would you prefer a different cuisine or price range? [END]
[SYSTEM] There are no expensive vegetarian restaurants. Would you prefer a different cuisine or price range?  [USER] A restaurant that serves british food will be fine. [END]
[USER] A restaurant that serves british food will be fine.  [SYSTEM] Graffiti is an expensive restaurant that serves British food, Would you like their address or phone number? [END]
[SYSTEM] Graffiti is an expensive restaurant that serves British food, Would you like their address or phone number?  [USER] Could you tell me the phone number of Graffiti? [END]
[USER] Could you tell me the phone number of Graffiti?  [SYSTEM] The phone number is 01223 277977. [END]
[SYSTEM] The phone number is 01223 277977.  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] You're welcome. Goodbye. [END]
[USER] I would like a moderately priced restaurant that serves creative food.  [SYSTEM] There are no results matching your query. Would you like to change your query? [END]
[SYSTEM] There are no results matching your query. Would you like to change your query?  [USER] Yes. How about a restaurant that serves European food? [END]
[USER] Yes. How about a restaurant that serves European food?  [SYSTEM] De Luca Cucina and Bar is moderately priced and serves modern European food. [END]
[SYSTEM] De Luca Cucina and Bar is moderately priced and serves modern European food.  [USER] That sounds good, can I have the address and postcode please. [END]
[USER] That sounds good, can I have the address and postcode please.  [SYSTEM] the address is 83 Regent Street, postcode is C.B 2, 1 A.W. [END]
[USER] I am looking for a restaurnt in the west end that isn't too high priced.  [SYSTEM] saint johns chop house ? [END]
[SYSTEM] saint johns chop house ?  [USER] Where is saint johns chop house? [END]
[USER] Where is saint johns chop house?  [SYSTEM] it is at 21 - 24 Northampton Street [END]
[SYSTEM] it is at 21 - 24 Northampton Street  [USER] Is this in the west part of town and can I get the phone number? [END]
[USER] Is this in the west part of town and can I get the phone number?  [SYSTEM] Saint johns chop house is in west part of town. The phone number is 01223 353110. [END]
[SYSTEM] Saint johns chop house is in west part of town. The phone number is 01223 353110.  [USER] What type of food do they serve? And to clarify, this is moderately priced, correct? [END]
[USER] What type of food do they serve? And to clarify, this is moderately priced, correct?  [SYSTEM] Saint Johns Chop House is a British restaurant in the west which is moderately priced. [END]
[SYSTEM] Saint Johns Chop House is a British restaurant in the west which is moderately priced.  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] You're welcome, goodbye. [END]
[USER] I want a danish restaurant in the south.  [SYSTEM] There are no Danish restaurants in the south. [END]
[SYSTEM] There are no Danish restaurants in the south.  [USER] How about an Italian restaurant in the south? [END]
[USER] How about an Italian restaurant in the south?  [SYSTEM] There is a frankie and bennys located in the south. [END]
[SYSTEM] There is a frankie and bennys located in the south.  [USER] phone number and postcode [END]
[USER] phone number and postcode  [SYSTEM] The phone number is 01223 412430. The postcode is C.B 1, 7 D.Y [END]
[SYSTEM] The phone number is 01223 412430. The postcode is C.B 1, 7 D.Y  [USER] Thank you, goodbye. [END]
[USER] Thank you, goodbye.  [SYSTEM] thank you ..good bye [END]
[USER] I am looking for an expensive Italian restaurant.  [SYSTEM] There is an expensive Italian restaurant named Frankie and Bennys at Cambridge Leisure Park Clifton Way Cherry Hinton. Would you like to go there or choose another? [END]
[SYSTEM] There is an expensive Italian restaurant named Frankie and Bennys at Cambridge Leisure Park Clifton Way Cherry Hinton. Would you like to go there or choose another?  [USER] Great yeah that sounds great can you book a table for 5 people at 11:30 on Sunday? [END]
[USER] Great yeah that sounds great can you book a table for 5 people at 11:30 on Sunday?  [SYSTEM] Unfortunately there are no tables available, please try another day or time slot. [END]
[SYSTEM] Unfortunately there are no tables available, please try another day or time slot.  [USER] How about 10:30 on sunday? And may I have a reference number? [END]
[USER] How about 10:30 on sunday? And may I have a reference number?  [SYSTEM] I was able to book a table for 5 at 10:30 on Sunday. Your reference number is MBC9E6AL . Is there anything else I can help you with today? [END]
[SYSTEM] I was able to book a table for 5 at 10:30 on Sunday. Your reference number is MBC9E6AL . Is there anything else I can help you with today?  [USER] No, that is all. Thank you so much for your help. [END]
[USER] No, that is all. Thank you so much for your help.  [SYSTEM] You're welcome. Good-bye. [END]
[USER] I am looking for bistro food.  [SYSTEM] I cannot find any restaurants matching your request. Can I find something else for you instead? [END]
[SYSTEM] I cannot find any restaurants matching your request. Can I find something else for you instead?  [USER] How about a restaurant serving Portuguese food? [END]
[USER] How about a restaurant serving Portuguese food?  [SYSTEM] Nandos City Centre, which is in the south part of town, serves Portuguese food and they are in the cheap price range. [END]
[SYSTEM] Nandos City Centre, which is in the south part of town, serves Portuguese food and they are in the cheap price range.  [USER] May I have the address and phone number of Nandos? [END]
[USER] May I have the address and phone number of Nandos?  [SYSTEM] Nandos' address is Cambridge Leisure Park Clifton Way and their phone number is 01223 327908. [END]
[SYSTEM] Nandos' address is Cambridge Leisure Park Clifton Way and their phone number is 01223 327908.  [USER] Thank you [END]
[USER] Thank you  [SYSTEM] You're welcome. Have a nice day. [END]
[USER] I am looking for an expensive restaurant that serves Welsh food.  [SYSTEM] I apologize, there are no restaurants in the expensive price range that serve Welsh food. Would you like a different type of food? [END]
[SYSTEM] I apologize, there are no restaurants in the expensive price range that serve Welsh food. Would you like a different type of food?  [USER] How about korean food? [END]
[USER] How about korean food?  [SYSTEM] Little Seoul is an expensive Korean restaurant. Is there anything else I can help you with? [END]
[SYSTEM] Little Seoul is an expensive Korean restaurant. Is there anything else I can help you with?  [USER] Yes, I would like their address and what part of town they are located in. [END]
[USER] Yes, I would like their address and what part of town they are located in.  [SYSTEM] Little Seoul is located in the centre of town and the address is 108 Regent Street City Centre. [END]
[SYSTEM] Little Seoul is located in the centre of town and the address is 108 Regent Street City Centre.  [USER] Thank you, goodbye. [END]
[USER] Thank you, goodbye.  [SYSTEM] Have a nice day! Goodbye. [END]
[USER] A moderately priced restaurant in the east part of town  [SYSTEM] Three restaurants meet your specifications. One is Italian and two serve Indian food. Do you have a preference? [END]
[SYSTEM] Three restaurants meet your specifications. One is Italian and two serve Indian food. Do you have a preference?  [USER] Is there anything else? [END]
[USER] Is there anything else?  [SYSTEM] the curry prince is in the east part of town and is in the moderate price range. Would you like their information? [END]
[SYSTEM] the curry prince is in the east part of town and is in the moderate price range. Would you like their information?  [USER] address and phone number please [END]
[USER] address and phone number please  [SYSTEM] The address of the Curry Prince is 451 Newmarket Road Fen Ditton and the phone number is 01223 566388. [END]
[SYSTEM] The address of the Curry Prince is 451 Newmarket Road Fen Ditton and the phone number is 01223 566388.  [USER] That's all I need.. Thank you and good bye. [END]
[USER] That's all I need.. Thank you and good bye.  [SYSTEM] Goodbye [END]
[USER] Hi, I am trying to find a restaurant serving Italian cuisine, something expensive please. What would you suggest?  [SYSTEM] i suggest stazione restaurant and coffee bar italian centre expensive 01223352607 cb23nj Market Hill City Centre [END]
[SYSTEM] i suggest stazione restaurant and coffee bar italian centre expensive 01223352607 cb23nj Market Hill City Centre  [USER] What area is that in please? The format you sent that in is very confusing. [END]
[USER] What area is that in please? The format you sent that in is very confusing.  [SYSTEM] That is in the centre of the city. [END]
[SYSTEM] That is in the centre of the city.  [USER] Okay thank you for the help. [END]
[USER] Okay thank you for the help.  [SYSTEM] Thanks for using our services. Can I help with anything else? [END]
[SYSTEM] Thanks for using our services. Can I help with anything else?  [USER] No that was all, goodbye. [END]
[USER] No that was all, goodbye.  [SYSTEM] Have a great day. [END]
[USER] I am looking for an expensive place to dine in the north.  [SYSTEM] Would you like to eat Asian Oriental, Chinese, European, or French? [END]
[SYSTEM] Would you like to eat Asian Oriental, Chinese, European, or French?  [USER] I think Chinese may have caught my attention. [END]
[USER] I think Chinese may have caught my attention.  [SYSTEM] The Hotpot is an expensive Chinese restaurant in that area. [END]
[SYSTEM] The Hotpot is an expensive Chinese restaurant in that area.  [USER] Great can I get their phone number as well please? [END]
[USER] Great can I get their phone number as well please?  [SYSTEM] The phone number for the hotpot is 01223366552, would you like me to book you a table? [END]
[SYSTEM] The phone number for the hotpot is 01223366552, would you like me to book you a table?  [USER] No thank you. Have a great day! [END]
[USER] No thank you. Have a great day!  [SYSTEM] You're quite welcome! Thanks for contacting the Cambridge TownInfo Centre and have a great day! [END]
[USER] I am looking for a restaurant that serves asian oriental food in the centre of town.  [SYSTEM] Do you have a price range preference? There are two cheap, 1 moderate, and 1 expensive. [END]
[SYSTEM] Do you have a price range preference? There are two cheap, 1 moderate, and 1 expensive.  [USER] I'm interested in a cheap place. What can you tell me about those? [END]
[USER] I'm interested in a cheap place. What can you tell me about those?  [SYSTEM] We have dojo noodle bar, and j restaurant which are both cheap restaurants in the centre of town. Would you like to book one of those? [END]
[SYSTEM] We have dojo noodle bar, and j restaurant which are both cheap restaurants in the centre of town. Would you like to book one of those?  [USER] Yes, get me a table for two at Dojo noodle bar on Wednesday at 16:00 [END]
[USER] Yes, get me a table for two at Dojo noodle bar on Wednesday at 16:00  [SYSTEM] There are no tables available at the time requested. Would you like to try another time or day? [END]
[SYSTEM] There are no tables available at the time requested. Would you like to try another time or day?  [USER] Hmm.. can you try at 15:00 instead? [END]
[USER] Hmm.. can you try at 15:00 instead?  [SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : H6OB1O8J . Is there anything else I can help you with? [END]
[SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : H6OB1O8J . Is there anything else I can help you with?  [USER] No, that will be all. Thanks! [END]
[USER] No, that will be all. Thanks!  [SYSTEM] Thank you, goodbye. [END]
[USER] I would like to find a cheap restaurant that serves tuscan food  [SYSTEM] nothing is matching your request. I'm sorry. [END]
[SYSTEM] nothing is matching your request. I'm sorry.  [USER] Bummer. Could you help me find some cheap Italian food then? [END]
[USER] Bummer. Could you help me find some cheap Italian food then?  [SYSTEM] If you do not have a preference of area, I recommend La Margherita in the west. [END]
[SYSTEM] If you do not have a preference of area, I recommend La Margherita in the west.  [USER] Sounds great, what is their phone number and address? [END]
[USER] Sounds great, what is their phone number and address?  [SYSTEM] la margherita is located at 15 magdalene street city centre and the phone number is 01223 315232. Is there anything else I can help you with? [END]
[SYSTEM] la margherita is located at 15 magdalene street city centre and the phone number is 01223 315232. Is there anything else I can help you with?  [USER] How about italian? [END]
[USER] How about italian?  [SYSTEM] La Margherita serves great Italian food. can i help with anything else ? [END]
[SYSTEM] La Margherita serves great Italian food. can i help with anything else ?  [USER] No that is all, thank you very much. Good bye. [END]
[USER] No that is all, thank you very much. Good bye.  [SYSTEM] You are very welcome. Good bye, [END]
[USER] I would like an expensive restaurant in the south part of town  [SYSTEM] There are mexican, chinese, italian and indian restaurants in the area. Are there any food type in particular you would like? [END]
[SYSTEM] There are mexican, chinese, italian and indian restaurants in the area. Are there any food type in particular you would like?  [USER] I don't care. [END]
[USER] I don't care.  [SYSTEM] Chiquito restaurant bar is a Mexican restaurant located in the south part of town and is in the expensive price range. [END]
[SYSTEM] Chiquito restaurant bar is a Mexican restaurant located in the south part of town and is in the expensive price range.  [USER] What is the address and phone number? [END]
[USER] What is the address and phone number?  [SYSTEM] Chiquito restaurant bar is located at 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton and their phone number is 01223 400170. [END]
[SYSTEM] Chiquito restaurant bar is located at 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton and their phone number is 01223 400170.  [USER] Thank you. Good bye. [END]
[USER] Thank you. Good bye.  [SYSTEM] thank you good bye [END]
[USER] I am looking for information in Cambridge  [SYSTEM] You have come to the right place! What can I do for you? [END]
[SYSTEM] You have come to the right place! What can I do for you?  [USER] I'm hoping to find somewhere expensive to dine in the south [END]
[USER] I'm hoping to find somewhere expensive to dine in the south  [SYSTEM] I have 2 chinese places, an indian, an italian and a mexican place that fit that description. What type of food are you in the mood for? [END]
[SYSTEM] I have 2 chinese places, an indian, an italian and a mexican place that fit that description. What type of food are you in the mood for?  [USER] I am looking for chinese please. [END]
[USER] I am looking for chinese please.  [SYSTEM] There are two choices: Peking restaurant or the good luck Chinese food takeaway. Which one appeals to you? [END]
[SYSTEM] There are two choices: Peking restaurant or the good luck Chinese food takeaway. Which one appeals to you?  [USER] you can choose and then book it for me for 7 people on saturday at 12:45. and tell me the reference number [END]
[USER] you can choose and then book it for me for 7 people on saturday at 12:45. and tell me the reference number  [SYSTEM] the search returned two restaurants for booking, choosing peking [END]
[USER] I'm looking for a restaurant in the east part of town that serves cantonese food.  [SYSTEM] I'm sorry but there is not cantonese restaurant in the east, can i offer you something else? [END]
[SYSTEM] I'm sorry but there is not cantonese restaurant in the east, can i offer you something else?  [USER] What about an Indian restaurant? [END]
[USER] What about an Indian restaurant?  [SYSTEM] Curry Prince is an Indian restaurant in the East part of town. [END]
[SYSTEM] Curry Prince is an Indian restaurant in the East part of town.  [USER] what is the phone number? [END]
[USER] what is the phone number?  [SYSTEM] Their phone number is 01223 324351 [END]
[SYSTEM] Their phone number is 01223 324351  [USER] Address please [END]
[USER] Address please  [SYSTEM] Curry Prince is at 451 Newmarket Road Fen Ditton. [END]
[SYSTEM] Curry Prince is at 451 Newmarket Road Fen Ditton.  [USER] thank you. Good bye. [END]
[USER] thank you. Good bye.  [SYSTEM] thank you good bye [END]
[USER] I would like a restaurant in the centre that is in the expensive price range.  [SYSTEM] There are 33 restaurants in the centre that are in the expensive price range. What type of food would you like? [END]
[SYSTEM] There are 33 restaurants in the centre that are in the expensive price range. What type of food would you like?  [USER] I am interested in Indian food please. [END]
[USER] I am interested in Indian food please.  [SYSTEM] There are six restaurants that match that description. Can recommend one of them for you? [END]
[SYSTEM] There are six restaurants that match that description. Can recommend one of them for you?  [USER] Yes please do. [END]
[USER] Yes please do.  [SYSTEM] The Curry Garden serves expensive Indian food in the centre of town. [END]
[SYSTEM] The Curry Garden serves expensive Indian food in the centre of town.  [USER] Great can I get a reservation there for 8 people at 12:30 on sunday? [END]
[USER] Great can I get a reservation there for 8 people at 12:30 on sunday?  [SYSTEM] Sorry, there is no table available then. Would you like to try another time slot? [END]
[SYSTEM] Sorry, there is no table available then. Would you like to try another time slot?  [USER] I think I'd rather try a different restaurant at my preferred time, actually. You mentioned there are several others? [END]
[USER] I think I'd rather try a different restaurant at my preferred time, actually. You mentioned there are several others?  [SYSTEM] Yes, there's the Goden Curry, Saffron Brasserie, Panahar, and Curry King. [END]
[SYSTEM] Yes, there's the Goden Curry, Saffron Brasserie, Panahar, and Curry King.  [USER] Great! Can I have the Goden Curry? [END]
[USER] Great! Can I have the Goden Curry?  [SYSTEM] Sure, when would you like to make a reservation? [END]
[SYSTEM] Sure, when would you like to make a reservation?  [USER] 12:30 on Sunday. There will be 8 of us. [END]
[USER] 12:30 on Sunday. There will be 8 of us.  [SYSTEM] I apologize. I have checked all of the restaurants in the area and none of them can accommodate 8 guests at 12:30 on Sunday. Would a different day or time suffice? [END]
[SYSTEM] I apologize. I have checked all of the restaurants in the area and none of them can accommodate 8 guests at 12:30 on Sunday. Would a different day or time suffice?  [USER] I guess I could try 11:30. [END]
[USER] I guess I could try 11:30.  [SYSTEM] Reservation booked with The Curry Garden for Sunday at 11:30am for 8 people. Your reservation will be held for 15 minutes. Reference number is 6GRFMVDJ . [END]
[SYSTEM] Reservation booked with The Curry Garden for Sunday at 11:30am for 8 people. Your reservation will be held for 15 minutes. Reference number is 6GRFMVDJ .  [USER] Thank you so much. [END]
[USER] Thank you so much.  [SYSTEM] You're welcome. Anything else I can help with today? [END]
[SYSTEM] You're welcome. Anything else I can help with today?  [USER] No, I am all set. Bye. [END]
[USER] No, I am all set. Bye.  [SYSTEM] Thank you. Have a nice day, goodbye. [END]
[USER] I want an expensive restaurant and serves european food. What is the phone number?  [SYSTEM] There is Cambridge Lodge Restaurant in the West area. Their phone number is 01223 355166. Can I help you with anything else? [END]
[SYSTEM] There is Cambridge Lodge Restaurant in the West area. Their phone number is 01223 355166. Can I help you with anything else?  [USER] Thank You [END]
[USER] Thank You  [SYSTEM] Thank you, goodbye! [END]
[USER] I'm interested in finding a restaurant that serves Tuscan food. Do you know of any in the moderate price range?  [SYSTEM] no I am sorry I don't have anything but I'm sure I could find you something that is simply Italian. [END]
[SYSTEM] no I am sorry I don't have anything but I'm sure I could find you something that is simply Italian.  [USER] I'm sorry. I'm only looking for a place that is moderately priced and serves Tuscan food. [END]
[USER] I'm sorry. I'm only looking for a place that is moderately priced and serves Tuscan food.  [SYSTEM] I apologize, but it appears tuscan with the moderate price range does not have any result. [END]
[SYSTEM] I apologize, but it appears tuscan with the moderate price range does not have any result.  [USER] That okay. Italian does sound fine, actually. Could you find a moderately priced Italian restaurant instead? [END]
[USER] That okay. Italian does sound fine, actually. Could you find a moderately priced Italian restaurant instead?  [SYSTEM] I found Prezzo in the west part of town, would that work? [END]
[SYSTEM] I found Prezzo in the west part of town, would that work?  [USER] Yes, that works. Please book a table for 8 people at 19:00 on Wednesday. Can you do that? [END]
[USER] Yes, that works. Please book a table for 8 people at 19:00 on Wednesday. Can you do that?  [SYSTEM] Booking was unfortunately unsuccessful. Can we try another day or time slot? [END]
[SYSTEM] Booking was unfortunately unsuccessful. Can we try another day or time slot?  [USER] Can we book the table for 8 people at 18:00 on Wednesday please? [END]
[USER] Can we book the table for 8 people at 18:00 on Wednesday please?  [SYSTEM] Sure. No problem. Your reference number is 7U1BWJ5Q . [END]
[SYSTEM] Sure. No problem. Your reference number is 7U1BWJ5Q .  [USER] Thank you, that's all I need! [END]
[USER] Thank you, that's all I need!  [SYSTEM] Thank you, goodbye. [END]
[USER] Hello, I'm looking for an Italian restaurant on the East side. Thank you!  [SYSTEM] I show one called the PIZZA HUT FEN DITTON that serves Italian style food and is located on the east side in the Cambridge Retail Park Newmarket Road Fen Ditton [END]
[SYSTEM] I show one called the PIZZA HUT FEN DITTON that serves Italian style food and is located on the east side in the Cambridge Retail Park Newmarket Road Fen Ditton  [USER] Is this restaurant in the moderate price range? [END]
[USER] Is this restaurant in the moderate price range?  [SYSTEM] It is listed in the moderate range. Would you like to book a reservation? [END]
[SYSTEM] It is listed in the moderate range. Would you like to book a reservation?  [USER] Yes book a table for 8 on sunday at 19:30 please. [END]
[USER] Yes book a table for 8 on sunday at 19:30 please.  [SYSTEM] I'm sorry, we were not able to book a table at that restaurant. Would you like me to find another restaurant? [END]
[SYSTEM] I'm sorry, we were not able to book a table at that restaurant. Would you like me to find another restaurant?  [USER] No I will call back thank you. [END]
[USER] No I will call back thank you.  [SYSTEM] Let me know what else you need . [END]
[SYSTEM] Let me know what else you need .  [USER] Can you find another restaurant int he same area and price range for me? [END]
[USER] Can you find another restaurant int he same area and price range for me?  [SYSTEM] I was able to book rajmahal, reference number is KSFSKIC1 [END]
[SYSTEM] I was able to book rajmahal, reference number is KSFSKIC1  [USER] I did not say to book rajmahal. What type of food does it serve? [END]
[USER] I did not say to book rajmahal. What type of food does it serve?  [SYSTEM] They serve Indian food. [END]
[SYSTEM] They serve Indian food.  [USER] If there are not any Italian restaurants available in the area that are moderately priced, Rajmahal will be fine. [END]
[USER] If there are not any Italian restaurants available in the area that are moderately priced, Rajmahal will be fine.  [SYSTEM] Your reservation is made. The number is KSFSKIC1 . [END]
[SYSTEM] Your reservation is made. The number is KSFSKIC1 .  [USER] Thank you for your help. Bye. [END]
[USER] Thank you for your help. Bye.  [SYSTEM] The address and phone for the Rajmahal is 7 Barnwell Road Fen Ditton cb58rg, 01223244955. Enjoy our city. [END]
[SYSTEM] The address and phone for the Rajmahal is 7 Barnwell Road Fen Ditton cb58rg, 01223244955. Enjoy our city.  [USER] I hope to. Goodbye. [END]
[USER] I hope to. Goodbye.  [SYSTEM] Have a nice day then! [END]
[USER] I would like a barbeque restaurant.  [SYSTEM] Where would you like to search for a restaurant, and what price range would you prefer? [END]
[SYSTEM] Where would you like to search for a restaurant, and what price range would you prefer?  [USER] I do not care about the price range or location. [END]
[USER] I do not care about the price range or location.  [SYSTEM] There are no restaurants serving barbeque. [END]
[SYSTEM] There are no restaurants serving barbeque.  [USER] Do you have an address, phone number and postcode for a North American food restaurant? [END]
[USER] Do you have an address, phone number and postcode for a North American food restaurant?  [SYSTEM] The Gourmet Burger Kitchen is at Regent Street City Centre, post code C.B 2, 1 A.B. The phone number is 01223 312598. [END]
[SYSTEM] The Gourmet Burger Kitchen is at Regent Street City Centre, post code C.B 2, 1 A.B. The phone number is 01223 312598.  [USER] Thank you good bye. [END]
[USER] Thank you good bye.  [SYSTEM] Thank you. [END]
[USER] Is there any expensive restaurants in town serving Australian food?  [SYSTEM] I'm sorry, there are no Australian restaurants. Would you like another type of food? [END]
[SYSTEM] I'm sorry, there are no Australian restaurants. Would you like another type of food?  [USER] How about asian oriental food? [END]
[USER] How about asian oriental food?  [SYSTEM] Kymmoy is an expensive asian oriental restraunt in town. [END]
[SYSTEM] Kymmoy is an expensive asian oriental restraunt in town.  [USER] What is the phone number and area? [END]
[USER] What is the phone number and area?  [SYSTEM] Kymmoy is in the centre of town and the phone number is 01223 311911. May I help you with anything else? [END]
[SYSTEM] Kymmoy is in the centre of town and the phone number is 01223 311911. May I help you with anything else?  [USER] Thank you, I have all I need. Goodbye! [END]
[USER] Thank you, I have all I need. Goodbye!  [SYSTEM] You're welcome. Thanks for your call! Goodbye. [END]
[USER] I am looking for a restaurant in the centre of town in the cheap price range.  [SYSTEM] I found several that fit your request! What type of food would you like? [END]
[SYSTEM] I found several that fit your request! What type of food would you like?  [USER] No preference. Can you recommend me one and give me their postcode and phone number? Thanks! [END]
[USER] No preference. Can you recommend me one and give me their postcode and phone number? Thanks!  [SYSTEM] Sure, how about dojo noodle bar postcode cb21rq and 01223363471 phone number. Would you like a reservation? [END]
[SYSTEM] Sure, how about dojo noodle bar postcode cb21rq and 01223363471 phone number. Would you like a reservation?  [USER] No thank you not at this time. [END]
[USER] No thank you not at this time.  [SYSTEM] The phone number is 01223363471 if you need it. Is there anything else I can help you with today? [END]
[SYSTEM] The phone number is 01223363471 if you need it. Is there anything else I can help you with today?  [USER] Nope you gave me everything I wanted to know. Thanks bye! [END]
[USER] Nope you gave me everything I wanted to know. Thanks bye!  [SYSTEM] Okay. Glad to have helped! [END]
[USER] Hello, I am looking for a Scottish restaurant on the west side of town.  [SYSTEM] I can help you with that. It looks like there aren't any restaurants like that in my database. Can I help you find a different restaurant? [END]
[SYSTEM] I can help you with that. It looks like there aren't any restaurants like that in my database. Can I help you find a different restaurant?  [USER] Is there a restaurant that serves Indian food in the west part of town? [END]
[USER] Is there a restaurant that serves Indian food in the west part of town?  [SYSTEM] I found several Indian restaurants in the west part of town. Were you looking for an expensive or moderately priced restaurant? [END]
[SYSTEM] I found several Indian restaurants in the west part of town. Were you looking for an expensive or moderately priced restaurant?  [USER] Expensive [END]
[USER] Expensive  [SYSTEM] I found several in the expensive price range in the west part of town, can I help you with anything else? [END]
[SYSTEM] I found several in the expensive price range in the west part of town, can I help you with anything else?  [USER] Can you please give me that phone number? [END]
[USER] Can you please give me that phone number?  [SYSTEM] Cocum is the first expensive indian restaurant in the west part of town on the database. The phone number for cocum is 01223 366668. [END]
[SYSTEM] Cocum is the first expensive indian restaurant in the west part of town on the database. The phone number for cocum is 01223 366668.  [USER] What is the food type they serve ? [END]
[USER] What is the food type they serve ?  [SYSTEM] They serve indian food . [END]
[SYSTEM] They serve indian food .  [USER] Can you please give me the address? [END]
[USER] Can you please give me the address?  [SYSTEM] Cocum is located at 71 castle street city centre. Is there anything else I can help you with? [END]
[SYSTEM] Cocum is located at 71 castle street city centre. Is there anything else I can help you with?  [USER] No, thank you, that is all I need. Goodbye! [END]
[USER] No, thank you, that is all I need. Goodbye!  [SYSTEM] Thank you. Good day! [END]
[USER] I'm looking for something serving christmas food.  [SYSTEM] There are no restaurants serving Christmas food. [END]
[SYSTEM] There are no restaurants serving Christmas food.  [USER] How about a moderately priced chinese restaurant? [END]
[USER] How about a moderately priced chinese restaurant?  [SYSTEM] Yes, there is one called golden wok in the north part of town. do you want this one? [END]
[SYSTEM] Yes, there is one called golden wok in the north part of town. do you want this one?  [USER] Ok, what's the phone number? [END]
[USER] Ok, what's the phone number?  [SYSTEM] golden wok's number is 01223 350688 [END]
[SYSTEM] golden wok's number is 01223 350688  [USER] Is there anything else? [END]
[USER] Is there anything else?  [SYSTEM] That's all, enjoy your meal. [END]
[SYSTEM] That's all, enjoy your meal.  [USER] Thanks! You too! [END]
[USER] Thanks! You too!  [SYSTEM] Goodbye. [END]
[USER] Hi, I'm looking for an expensive restaurant that serves British cuisine.  [SYSTEM] We have six. Do you have a preferred area of town? [END]
[SYSTEM] We have six. Do you have a preferred area of town?  [USER] No preferred area but I need to know if I can book a table for Saturday. [END]
[USER] No preferred area but I need to know if I can book a table for Saturday.  [SYSTEM] What time on Saturday and for how many people were you looking to book for? [END]
[SYSTEM] What time on Saturday and for how many people were you looking to book for?  [USER] There will be 3 of us at 14:15. [END]
[USER] There will be 3 of us at 14:15.  [SYSTEM] I was able to book a table at the grafton hotel they also serve british. Your reference number is 1ULFDV2T . [END]
[SYSTEM] I was able to book a table at the grafton hotel they also serve british. Your reference number is 1ULFDV2T .  [USER] Thank you so much! [END]
[USER] Thank you so much!  [SYSTEM] Enjoy the rest of you day [END]
[USER] I need a vegetarian restaurant  [SYSTEM] What area would you like? [END]
[SYSTEM] What area would you like?  [USER] East part of town. [END]
